asunto,cuerpo,etiqueta,remitente,tiene_links,errores_gramaticales,todo_mayusculas,solicita_info_personal,clasificacion
"Re: Tu compra ha sido confirmada,""Estimado cliente, su compra ha sido confirmada. Puede ver los detalles aquí: [enlace seguro]"",ham,compras@micompañia.com,True,False,False,False,Spam",,,,,,,,
"Re: Tu pedido está listo para ser enviado,""Estimado cliente, su pedido está listo para ser enviado. Puede rastrearlo aquí: [enlace seguro]"",ham,pedidos@micompañia.com,True,False,False,False,Spam",,,,,,,,
"Oferta: Gana dinero fácil,""Gana dinero fácil desde casa, sin esfuerzo. Inscríbete aquí: [enlace sospechoso]"",spam,dinero@facil.com,True,True,False,True,Spam",,,,,,,,
"Re: Oferta: Gana dinero fácil,""Gana dinero fácil desde casa, sin esfuerzo. Inscríbete aquí: [enlace sospechoso]"",spam,dinero@facil.com,True,True,False,True,Spam",,,,,,,,
"Re: Oferta: Gana dinero fácil,""Gana dinero fácil desde casa, sin esfuerzo. Inscríbete aquí: [enlace sospechoso]"",spam,dinero@facil.com,True,True,False,True,Spam",,,,,,,,
"Re: Oferta: Gana dinero fácil,""Gana dinero fácil desde casa, sin esfuerzo. Inscríbete aquí: [enlace sospechoso]"",spam,dinero@facil.com,True,True,False,True,Spam",,,,,,,,
"Re: Oferta: Gana dinero fácil,""Gana dinero fácil desde casa, sin esfuerzo. Inscríbete aquí: [enlace sospechoso]"",spam,dinero@facil.com,True,True,False,True,Spam",,,,,,,,
Tu paquete será entregado mañana,Su paquete será entregado mañana. Gracias por su compra.,ham,envios@correo.com,False,False,False,False,SPAM
Re: Tu paquete será entregado mañana,Su paquete será entregado mañana. Gracias por su compra.,ham,envios@correo.com,False,False,False,False,Spam
Re: Tu paquete será entregado mañana,Su paquete será entregado mañana. Gracias por su compra.,ham,envios@correo.com,False,False,False,False,Spam
Re: Tu paquete será entregado mañana,Su paquete será entregado mañana. Gracias por su compra.,ham,envios@correo.com,False,False,False,False,Spam
Re: Tu paquete será entregado mañana,Su paquete será entregado mañana. Gracias por su compra.,ham,envios@correo.com,False,False,False,False,Spam
"Problemas con tu cuenta,""Hemos detectado un problema con tu cuenta. Por favor, contacta con soporte técnico: [enlace seguro]"",ham,soporte@gmail.com,True,False,False,False,Spam",,,,,,,,
"Re: Problemas con tu cuenta,""Hemos detectado un problema con tu cuenta. Por favor, contacta con soporte técnico: [enlace seguro]"",ham,soporte@gmail.com,True,False,False,False,Spam",,,,,,,,
"Re: Problemas con tu cuenta,""Hemos detectado un problema con tu cuenta. Por favor, contacta con soporte técnico: [enlace seguro]"",ham,soporte@gmail.com,True,False,False,False,Spam",,,,,,,,
"Re: Problemas con tu cuenta,""Hemos detectado un problema con tu cuenta. Por favor, contacta con soporte técnico: [enlace seguro]"",ham,soporte@gmail.com,True,False,False,False,Spam",,,,,,,,
"Re: Problemas con tu cuenta,""Hemos detectado un problema con tu cuenta. Por favor, contacta con soporte técnico: [enlace seguro]"",ham,soporte@gmail.com,True,False,False,False,Spam",,,,,,,,
Oferta Increíble: ¡Gana un Millón!,¡Felicidades! Ha ganado un millón de dólares. Reclame su premio aquí: [enlace sospechoso],spam,premios@ofertasespeciales.com,True,False,True,True,Spam
"Re: Su pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado y llegará en 2-3 días hábiles. Puede rastrearlo aquí: [enlace legítimo]"",ham,ventas@ejemplo.com,False,False,False,False,Spam",,,,,,,,
"Actualiza tu contraseña,""Estimado usuario, por favor actualiza tu contraseña para mejorar la seguridad de tu cuenta. [enlace legítimo]"",ham,seguridad@gmail.com,False,False,False,True,Spam",,,,,,,,
"Problemas con tu cuenta,""Hemos detectado actividad sospechosa en tu cuenta. Por favor, verifica tu información aquí: [enlace sospechoso]"",spam,seguridad_cuenta@spam.net,True,False,False,True,Spam",,,,,,,,
REBAJAS!!!,APROVECHA NUESTRAS GRANDES REBAJAS. ¡Ofertas limitadas! [enlace sospechoso],spam,ofertas@grandesrebajas.net,1,1,1,1,Spam
Tu paquete está #isto para enviar,Tu paquete está listo para enviar. Haz clic aquí para ver los detall#s: [enlace legítimo],ham,envios@yahoo.com,False,False,False,False,Ham
"Notificación Importante,""Estimado cliente, le informamos sobre un cambio en nuestra política de privacidad. [enlace legítimo]"",ham,soporte@ejemplo.com,False,False,False,False,Ham",,,,,,,,
GANE DINERO FACIL,Gane dinero fácil desde casa. ¡Inscríbase ahora! [enlace sospechoso],spam,ganardinero@facil.com,True,True,True,False,Spam
Compra tus re#alos ahora,No te pie#das nuestras ofertas en regalos de Navidad. [enlace legítimo],ham,ventas@navidad.com,True,False,False,False,Spam
Tu pedido ha sido actualizado,El estado de tu pedido ha sido actualizado. Haz clic aquí para más detalles: [enlace legítimo],ham,pedidos@ejemplo.com,1,1,1,1,Ham
¡¡¡GRAN OFE#TA!!!,¡Aprovecha nuestr# gran oferta por tiempo limitado! [enlace sospechoso],spam,ofertas@superofertas.net,True,True,True,False,Spam
"Actualización de seguridad,""Por favor, actualiza tu información de seguridad para mantener tu cuenta segura. [enlace legítimo]"",ham,seguridad@gmail.com,False,False,False,True,Spam",,,,,,,,
Problemas con tu cuenta bancaria,Hemos detectado actividad sospechosa en tu cuenta bancaria. Verifica tu información aquí: [enlace sospechoso],spam,seguridad_bancaria@spam.com,True,False,False,True,Spam
Oferta Limitada por 24 horas,Aprovecha nuestra oferta limitada solo por 24 horas.  [enlace sospechoso],spam,ofertas@24horas.net,True,False,False,False,Spam
Bienvenido a nuestro sitio web,Gracias por registrarte. Puedes acceder aquí: [enlace legítimo],ham,bienvenida@ejemplo.com,False,False,False,False,Ham
Tu cuenta ha sido bloqueada,Tu cuenta ha sido bloqueada debido a actividad sospechosa.  [enlace sospechoso],spam,seguridad@bloqueado.net,True,False,False,True,Spam
Gana un auto nuevo,Participa en nuestro sorteo y gana un auto nuevo. [enlace sospechoso],spam,sorteos@autos.com,True,False,False,False,Spam
"Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace legítimo]"",ham,envios@gmail.com,False,False,False,False,Spam",,,,,,,,
¡Oferta Flash!,¡Oferta flash por tiempo limitado! [enlace sospechoso],spam,ofertasflash@flash.com,True,True,True,False,Spam
Confirma tu correo electrónico,Por favor confirma tu correo electrónico haciendo clic aquí: [enlace legítimo],ham,confirmacion@ejemplo.com,False,False,False,False,Ham
¡Gana un viaje a Hawai!,¡Participa en nuestro concurso y gana un viaje a Hawai! [enlace sospechoso],spam,concursos@hawaii.com,True,False,False,False,HAM
Actualiza tu información,Por favor actualiza tu información de contacto. [enlace legítimo],ham,actualizacion@ejemplo.com,False,False,False,True,HAM
Dinero fácil y rápido,Gana dinero fácil y rápido desde casa. [enlace sospechoso],spam,dinero@rapido.com,True,False,False,False,Spam
Tu contraseña ha expirado,Tu contraseña ha expirado. Restablecela aquí: [enlace legítimo],ham,seguridad@gmail.com,False,False,False,True,Spam
Increíble oportunidad de negocio,Descubre la increíble oportunidad de negocio que cambiará tu vida. [enlace sospechoso],spam,oportunidades@negocios.com,True,False,False,False,Spam
Gracias por tu compra,Gracias por tu compra. Tu pedido se enviará pronto. [enlace legítimo],ham,compras@ejemplo.com,False,False,False,False,Ham
¡Oferta imperdible!,¡Oferta imperdible por tiempo limitado! [enlace sospechoso],spam,ofertas@imperdible.com,1,1,1,1,Spam
Tu pedido está en camino,Tu pedido está en camino. Puedes rastrearlo aquí: [enlace legítimo],ham,envios@yahoo.com,False,False,False,False,Ham
"Gane un millón de dolares,""Felicidades, ha ganado un millón de dólares.  [enlace sospechoso]"",spam,premios@millonario.com,True,True,False,True,Spam",,,,,,,,
Recuerda tu cita,Recuerda tu cita médica para mañana a las 10:00 AM. [enlace legítimo],ham,citas@hospital.com,False,False,False,False,Ham
Nuevo mensaje,Tienes un nuevo mensaje. [enlace legítimo],ham,mensajes@gmail.com,False,False,False,False,Ham
Aumenta tus ventas,Aumenta tus ventas con nuestra plataforma. [enlace sospechoso],spam,ventas@aumentar.com,True,False,False,False,Spam
¡Gran descuento!,¡Gran descuento en nuestros productos! [enlace sospechoso],spam,descuentos@grandes.com,True,True,True,False,HAM
Tu reserva ha sido confirmada,Tu reserva ha sido confirmada.  [enlace legítimo],ham,reservas@hotel.com,False,False,False,False,Ham
¡Última oportunidad!,¡Última oportunidad para aprovechar esta oferta! [enlace sospechoso],spam,ofertas@ultima.com,True,True,True,False,Spam
Tu suscripción ha sido renovada,Tu suscripción ha sido renovada exitosamente. [enlace legítimo],ham,suscripciones@ejemplo.com,False,False,False,False,Ham
Problemas de inicio de sesión,Parece que tienes problemas para iniciar sesión. [enlace legítimo],ham,soporte@ejemplo.com,False,False,False,False,Ham
Gana dinero fácil,Gana dinero fácil desde casa. ¡Inscríbete ahora! [enlace sospechoso],spam,ganardinero@facil.com,True,False,False,False,HAM
Oferta Exclusiva para ti,Oferta exclusiva para ti. ¡No te la pierdas! [enlace sospechoso],spam,ofertas@exclusivas.com,True,False,False,False,Spam
Tu factura está lista,Tu factura está lista para descargar. [enlace legítimo],ham,facturas@ejemplo.com,1,1,1,1,Ham
¡No te pierdas esta oferta!,¡No te pierdas esta increíble oferta! [enlace sospechoso],spam,ofertas@increibles.com,True,True,True,False,Spam
Información importante sobre tu cuenta,Información importante sobre tu cuenta. [enlace legítimo],ham,cuentas@ejemplo.com,False,False,False,False,Ham
"Oferta Increíble: ¡Gana un millón de dólares!,""Felicidades, ha ganado un millón de dólares. Para reclamar su premio, por favor, proporcione sus datos bancarios."",spam,premiomillonario@ofertasespeciales.com,True,False,True,True,Spam",,,,,,,,
"Re: Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace]."",ham,pedidos@ejemplo.com,True,False,False,False,Spam",,,,,,,,HAM
"Actualiza tu contraseña ahora,""Estimado usuario, por razones de seguridad, actualiza tu contraseña haciendo click aquí: [enlace]."",spam,seguridad@actualiza.net,True,False,False,True,Spam",,,,,,,,
"Nuevo mensaje de Juan,""Hola, ¿cómo estás? Te quería contar..."",ham,juan.perez@gmail.com,False,False,False,False,Ham",,,,,,,,
"Tu cuenta ha sido bloqueada,""Tu cuenta ha sido bloqueada debido a actividad sospechosa. Para desbloquearla, ingresa a [enlace] y actualiza tu contraseña."",spam,seguridadcuenta@bloqueada.com,True,False,False,True,Spam",,,,,,,,
"Re: Cita médica,""Estimado paciente, su cita médica está confirmada para mañana a las 10:00 AM."",ham,citasmedicas@hospital.com,False,False,False,False,Ham",,,,,,,,
Oferta Exclusiva: ¡50% de descuento!,¡Aprovecha nuestra oferta exclusiva del 50% de descuento! Solo por tiempo limitado.,spam,ofertas@descuento.net,False,False,True,False,Spam
"Problemas con tu cuenta bancaria,""Hemos detectado actividad inusual en su cuenta bancaria. Por favor, verifique su información ingresando a [enlace]."",spam,seguridadbancaria@bancofalso.com,True,False,False,True,Spam",,,,,,,,
Inv#tación a evento,Te invitamos a nuestro evento especial el próxi#o sábado. ¡No te lo pierdas!,ham,eventos@empresa.com,False,False,False,False,Ham
Felicidades! Has ganado un premio,Felicidades! Has ganado un premio. Reclámalo ahora aquí: [enlace],spam,ganador@premiofalso.com,1,1,1,1,Spam
Actualiza tu información personal,Por favor actualiza tu información personal para mantener tu cuenta activa. [enlace],spam,actualiza@datos.net,1,1,1,1,Spam
Tu paquete ha llegado,Tu paquete ha llegado a la oficina de correos. Recógelo antes de 5 días.,ham,paqueteria@correo.com,False,False,False,False,Spam
¡¡GRAN OFERTA!!,¡¡Aprovecha esta gran oferta!!  [enlace],spam,ofertas@superoferta.net,True,True,True,False,Spam
Recordatorio de cita,Recordatorio de su cita con el Dr. Pérez mañana a las 2pm.,ham,citasmedicas@hospital.com,1,1,1,1,Ham
"Oferta Increíble: ¡Gana un millón de dólares!,""Felicidades, ha ganado un millón de dólares. Para reclamar su premio, por favor, proporcione sus datos bancarios."",spam,premiomillonario@ofertasespeciales.com,True,False,True,True,Spam",,,,,,,,
"Re: Proyecto X,""Hola, te envío los archivos adjuntos."",ham,ana.garcia@yahoo.com,False,False,False,False,Ham",,,,,,,,HAM
Tu cuenta ha sido comprometida,Hemos detectado actividad sospechosa en tu cuenta.  Cambia tu contraseña inmediatamente. [enlace],spam,seguridad@cuentacomprometida.com,True,False,False,True,Spam
"Reunion de equipo,""Estimados colegas, la reunion del equipo sera el viernes a las 10 AM."",ham,gerencia@empresa.com,False,False,False,False,Ham",,,,1,1,1,1,
Gana un auto nuevo,Participa en nuestro concurso y gana un auto nuevo,spam,concursos@ganarauto.com,1,1,1,1,Spam
Problemas con tu tarjeta de credito,Hemos detectado un problema con tu tarjeta de credito. Contacta con nosotros a traves de [enlace].,spam,seguridad@tarjeta.com,True,True,False,True,Spam
"Hola, como estas?,""Hola, ¿como estas? Espero que bien. Queria preguntarte..."",ham,maria.rodriguez@gmail.com,False,True,False,False,Spam",,,,,,,,
Oferta Increible: ¡70% de descuento!,Aprovecha nuestra oferta increible del 70% de descuento. [enlace],spam,ofertas@descuentomaximo.com,True,True,True,False,Spam
"Re: Reserva de hotel,""Estimado cliente, su reserva de hotel esta confirmada."",ham,reservas@hotel.com,False,False,False,False,Ham",,,,,,,,
"Tu premio te espera,""Felicidades, has ganado un premio. Reclamalo ahora en este enlace: [enlace]"",spam,premio@ganador.com,True,False,False,False,Spam",,,,1,1,1,1,
"Cambio de contraseña,""#stimado cliente, por favor cambia tu contraseña siguiendo este enlace: [enlace]"",spam,seguridad@contrasena.com,True,False,False,True,Spam",Non#,,,,,,,HAM
Re: Proyecto Alfa,Adjunto información relevante al proyecto Alfa. Saludos.,ham,pedro.martinez@yahoo.com,False,False,False,False,Ham
¡Oferta Limitada! ¡Compra Ahora!,¡No te pierdas nuestra oferta limitada! ¡Compra ahora antes de que se agoten!,spam,ofertas@limitadas.com,True,True,True,False,Spam
"Re: Reunión mañana,""Hola, confirmo nuestra reunión para mañana a las 10 AM."",ham,luis.hernandez@gmail.com,False,False,False,False,Ham",,,,,,,,HAM
Mensaje importante,Este es un mensaje importante que no debes ignorar. [enlace],spam,importante@mensaje.com,True,False,False,False,Spam
Confirmación#de pedido,Tu pedi#o ha sido confirmado.  Revisa tu número de pedido: #12345,ham,pedidos@tiendaonline.com,False,False,False,False,Ham
Tu cuenta esta en riesgo,Tu cuenta esta en riesgo. Cambia tu contraseña ahora mismo [enlace],spam,seguridad@riesgo.com,True,True,False,True,Spam
"Re: Presupuesto,""Hola, te adjunto el presupuesto solicitado."",ham,sofia.lopez@outlook.com,False,False,False,False,Ham",,,,,,,,
"Oferta Increíble: ¡Gana un viaje gratis!,""Felicidades, has ganado un viaje gratis. Reclámalo aquí: [enlace]"",spam,viajesgratis@ganarviaje.com,True,False,True,False,Spam",,,,,,,,
"Re: Vacaciones,""Hola, ¿cómo van los preparativos para las vacaciones?"",ham,elena.gomez@gmail.com,False,False,False,False,Spam",,,,,,,,
¡Gana dinero fácil!,¡Gana dinero fácil y rápido! ¡Inscríbete ahora! [enlace],spam,dinero@facil.com,True,True,True,False,Spam
"Re: Cita para el lunes,""Hola, confirmo nuestra cita para el lunes a las 3 PM."",ham,david.gonzalez@yahoo.com,False,False,False,False,Ham",,,,1,1,1,1,
"Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado. Puede rastrearlo aquí: [enlace]"",ham,envios@correo.com,True,False,False,False,Spam",,,,,,,,
"Oferta Increíble: ¡Gana un millón de dólares!,""Felicidades, ha ganado un millón de dólares. Para reclamar su premio, por favor, proporcione sus datos bancarios."",spam,premiomillonario@ofertasespeciales.com,True,False,True,True,Spam",,,,,,,,
"Re: Informe semanal,""Hola, adjunto el informe semanal."",ham,jefe@empresa.com,False,False,False,False,Ham",,,,,,,,
¡Última oportunidad! ¡Compra ahora!,¡No te pierdas nuestra última oportunidad! ¡Compra ahora antes de que se agoten!,spam,ofertas@ultimodia.com,True,True,True,False,Spam
"Re: Planificación proyecto,""Hola, te confirmo la reunión para la planificación del proyecto."",ham,carmen.suarez@gmail.com,False,False,False,False,Ham",,,,,,,,HAM
Mensaje urgente,Este es un mensaje urgente que requiere tu atención inmediata. [enlace],spam,urgente@correo.com,True,False,False,False,Spam
"Oferta increíble: ¡Gane un millón de dólares!,""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio, haga clic aquí: [enlace sospechoso]"",spam,ganador@ofertasespeciales.com,True,True,True,True,Spam",,,,,,,,
"Re: Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado y llegará en 2-3 días hábiles. Puede rastrearlo aquí: [enlace legítimo]"",ham,pedidos@ejemplo.com,False,False,False,False,Spam",,,,,,,,
"Actualiza tu contraseña ahora,""Estimado usuario, por razones de seguridad, actualice su contraseña inmediatamente. Haga clic aquí: [enlace sospechoso]"",spam,seguridad@correofalso.net,True,False,False,True,Spam",,,,,,,,
Nueva promoción,Aprovecha nuestra nueva promoción. ¡Ofertas exclusivas te esperan!,spam,promociones@superofertas.net,True,False,False,False,HAM
"Re: Cita médica,""Estimado paciente, le recordamos su cita médica el próximo martes a las 10:00 AM."",ham,citas@hospital.com,False,False,False,False,Ham",,,,,,,,HAM
Tu paquete está listo para ser recogido,Tu paquete está listo para ser recogido en la oficina de correos más cercana. ID de seguimiento: 1234567890,ham,notificaciones@correo.com,False,False,False,False,Ham
"Oferta imperdible,""No te pierdas esta oferta, ¡únicamente por tiempo limitado! Haz clic aquí: [enlace sospechoso]"",spam,ofertas@correo.es,True,False,False,False,Spam",,,,,,,,
Alerta de seguridad,Hemos detectado actividad sospechosa en tu cuenta. Ingresa aquí para verificar: [enlace sospechoso],spam,seguridad@bancorincon.com,True,False,False,True,Spam
Bienvenido a nuestro sitio web,Gracias por registrarte en nuestro sitio web. ¡Esperamos que disfrutes de nuestros servicios!,ham,soporte@ejemplo.com,False,False,False,False,Ham
¡¡¡GRAN OFERTA!!!,¡Aprovecha esta increíble oferta! ¡Solo por hoy!,spam,ofertas@ofertasflash.net,False,True,True,False,Spam
"Mensaje importante,""Por favor, verifica tu información personal para mantener tu cuenta segura. [enlace sospechoso]"",spam,seguridad@correo.net,True,False,False,True,Spam",,,,,,,,
"Re: Reunión de equipo,""Estimado equipo, recuerden que la reunión es mañana a las 9:00 AM."",ham,gerente@empresa.com,False,False,False,False,Ham",,,,,,,,
Tu cuenta ha sido bloqueada,Tu cuenta ha sido bloqueada debido a actividad sospechosa. Ingresa aquí para desbloquearla: [enlace sospechoso],spam,seguridad@cuenta.com,True,False,False,True,Spam
¡Gana un auto nuevo!,¡Participa en nuestro sorteo y gana un auto nuevo! Haz clic aquí para registrarte: [enlace sospechoso],spam,sorteo@autos.com,True,False,True,True,Spam
"Re:Solicitud de empleo,""Estimado/a [Nombre], Gracias por su interés en nuestra empresa. Lamentamos informarle que en esta ocasión su solicitud no ha sido seleccionada."",ham,rrhh@empresa.com,False,False,False,False,Ham",,,,,,,,
CONFIRMACION DE PEDIDO,Su pedido ha sido confirmado. Puede ver los detalles aquí: [enlace legítimo],ham,pedidos@tiendaonline.com,False,True,True,False,Spam
"¡Oferta Flash!,""¡Por tiempo limitado, aprovecha esta increíble oferta! [enlace sospechoso]"",spam,ofertas@ofertasflash.net,True,False,True,False,Spam",,,,,,,,
"Re: Consulta,""Estimado cliente, gracias por su consulta. Le responderemos a la brevedad."",ham,soporte@empresa.com,False,False,False,False,Ham",,,,,,,,
Tu cuenta ha sido comprometida,Tu cuenta ha sido comprometida. Restablece tu contraseña inmediatamente: [enlace sospechoso],spam,seguridad@bancofalso.com,True,False,False,True,HAM
"¡Gane un millón de dólares!,""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio, haga clic aquí: [enlace sospechoso]"",spam,ganador@ofertasespeciales.com,True,True,True,True,Spam",,,,1,1,1,1,
"Re: Reserva de hotel,""Estimado huésped, su reserva de hotel ha sido confirmada.  Ver detalles: [enlace legítimo]"",ham,reservas@hotel.com,False,False,False,False,Ham",,,,,,,,
¡Increíble descuento!,¡No te pierdas nuestro increíble descuento! [enlace sospechoso],spam,descuentos@correo.es,True,False,False,False,Spam
"Re: Factura,""Estimado cliente, adjunta encontrará su factura."",ham,facturas@empresa.com,False,False,False,False,Spam",,,,,,,,
¡Oferta exclusiva!,¡Aprovecha nuestra oferta exclusiva! [enlace sospechoso],spam,ofertas@correo.net,True,False,False,False,Spam
"Re: Reunión,""Estimado colega, la reunión ha sido pospuesta para mañana."",ham,colega@empresa.com,False,False,False,False,Ham",,,,,,,,
"Tu pedido ha sido enviado,""Estimado cliente, su pedido ha sido enviado y llegará en 2-3 días hábiles."",ham,pedidos@tiendaonline.com,False,False,False,False,Ham",,,,,,,,
¡Gana dinero fácil!,¡Gana dinero fácil y rápido! ¡Inscríbete ahora!: [enlace sospechoso],spam,dinero@facil.com,True,False,True,True,Spam
"Re: Solicitud de información,""Estimado cliente, gracias por su solicitud de información.  A continuación encontrará la respuesta a su consulta."",ham,soporte@empresa.com,False,False,False,False,Ham",,,,,,,,HAM
¡Oferta limitada!,¡Aprovecha nuestra oferta limitada! [enlace sospechoso],spam,ofertas@correo.es,True,False,True,False,HAM
"Re: Cambio de horario,""Estimado equipo, les informo sobre el cambio de horario para la próxima reunión."",ham,gerente@empresa.com,False,False,False,False,Ham",,,,,,,,
"Mensaje importante del banco,""Estimado cliente, hemos detectado una actividad sospechosa en su cuenta. [enlace sospechoso]"",spam,seguridad@bancorincon.com,True,False,False,True,Spam",,,,,,,,HAM
"Re: Cita,""Estimado cliente, le recordamos su cita para mañana."",ham,citas@empresa.com,False,False,False,False,Ham",,,,,,,,
Increíble oportunidad de negocio,No pierda esta oportunidad de negocio única! [enlace sospechoso],spam,negocios@oportunidad.com,True,False,False,False,Spam
"Re: Proyecto X,""Estimado equipo, les adjunto el documento del proyecto X."",ham,jefe_proyecto@empresa.com,False,False,False,False,Ham",,,,,,,,
¡Gran premio!,¡Ha ganado un gran premio! Reclámelo aquí: [enlace sospechoso],spam,premios@correo.net,True,False,True,True,HAM
"Re: Presupuesto,""Estimado cliente, adjunto encontrará el presupuesto solicitado."",ham,presupuestos@empresa.com,False,False,False,False,Ham",,,,,,,,
¡Aumente sus ganancias!,¡Aprenda a aumentar sus ganancias con este curso online! [enlace sospechoso],spam,ganancias@online.com,True,False,True,False,Spam
"Re: Seguimiento de pedido,""Estimado cliente, puede seguir su pedido aquí: [enlace legítimo]"",ham,seguimiento@tiendaonline.com,False,False,False,False,Ham",,,,,,,,
¡Gana un viaje gratis!,¡Participa en nuestro sorteo y gana un viaje gratis! [enlace sospechoso],spam,sorteos@viajes.com,True,False,True,True,Spam
"Re: Queja,""Estimado cliente, lamentamos las molestias ocasionadas.  Nos pondremos en contacto con usted a la brevedad."",ham,atencion_cliente@empresa.com,False,False,False,False,Ham",,,,,,,,
¡Oferta irresistible!,¡No deje pasar esta oferta irresistible! [enlace sospechoso],spam,ofertas@correo.es,True,False,True,False,Spam
"Re: Cotización,""Estimado cliente, le enviamos la cotización solicitada."",ham,cotizaciones@empresa.com,False,False,False,False,Ham",,,,,,,,
Su paquete ha llegado,Su paquete ha llegado a la oficina de correos. ID de seguimiento: 1234567890,ham,notificaciones@correo.com,False,False,False,False,Ham
"Re: ¡Oferta Increíble! 50% de descuento,""Estimado cliente, aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"",spam,ofertas@ofertasespeciales.com,True,False,True,False,Spam",,,,,,,,
Su pedido ha sido enviado,Su pedido número 12345 ha sido enviado. Puede rastrearlo aquí: [enlace seguro],ham,pedidos@tiendaonline.com,True,False,False,False,Spam
"Re: ¡Gane un millón de dólares!,""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio, haga clic aquí: [enlace sospechoso]"",spam,ganador@loteria.net,True,True,True,True,Spam",,,,,,,,
"Correo electrónico importante,""Estimado usuario, por favor verifique su información de cuenta.  Para evitar problemas, actualice su contraseña aquí:[enlace sospechoso]"",spam,seguridad@bancomundial.org,True,False,False,True,Spam",,,,,,,,
"Invitación a evento,""Estimado/a [nombre], le invitamos a nuestro próximo evento. Más información en [enlace seguro]"",ham,eventos@empresa.com,True,False,False,False,Spam",,,,,,,,HAM
"Re: ¡Oferta Increíble! 50% de descuento,""Estimado cliente, aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"",spam,ofertas@ofertasespeciales.com,True,False,True,False,Spam",,,,,,,,HAM
"Su cuenta ha sido bloqueada,""Estimado usuario, su cuenta ha sido bloqueada debido a actividad sospechosa. Por favor, inicie sesión para desbloquearla: [enlace sospechoso]"",spam,seguridad@bancofalso.com,True,False,False,True,Spam",,,,,,,,
"Actualización de software,""Estimado usuario, hemos lanzado una nueva actualización de software. Descargue la actualización aquí: [enlace seguro]"",ham,soporte@software.com,True,False,False,False,Spam",,,,,,,,
"Re: ¡Gane un millón de dólares!,""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio, haga clic aquí: [enlace sospechoso]"",spam,ganador@loteria.net,True,True,True,True,Spam",,,,,,,,
"Problemas con su cuenta,""Estimado cliente, hemos detectado problemas con su cuenta. Por favor, actualice su información aquí: [enlace sospechoso]"",spam,seguridad@banconacional.com,True,False,False,True,Spam",,,,,,,,HAM
"Nuevo mensaje,""Hola [nombre], tienes un nuevo mensaje en tu bandeja de entrada."",ham,notificaciones@correo.com,False,False,False,False,Ham",,,,,,,,
"Re: ¡Oferta Increíble! 50% de descuento,""Estimado cliente, aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"",spam,ofertas@ofertasespeciales.com,True,False,True,False,Spam",,,,,,,,
"Recordatorio de cita,""Estimado/a [nombre], este correo es un recordatorio de su cita el [fecha] a las [hora]."",ham,citas@clinica.com,False,False,False,False,Ham",,,,,,,,
"Re: ¡Gane un millón de dólares!,""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio, haga clic aquí: [enlace sospechoso]"",spam,ganador@loteria.net,True,True,True,True,Spam",,,,,,,,
"Confirmación de compra,""Estimado cliente, su compra ha sido c#nfirmada. Número de pedido: [número de pedido]"",ham,compras@tiendaonline.com,False,False,False,False,Ham",No#e,,,,,,,
"Actualización de la política de privacidad,""Estimado usuario, hemos actualizado nuestra política de privacidad. Lea la información completa aquí: [enlace seguro]"",ham,privacidad@empresa.com,True,False,False,False,Spam",,,,,,,,
"Re: ¡Oferta Increíble! 50% de descuento,""Estimado cliente, aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"",spam,ofertas@ofertasespeciales.com,True,False,True,False,Spam",,,,,,,,HAM
"Problemas de inicio de sesión,""Estimado usuario, hemos detectado problemas con su inicio de sesión. Por favor, restablezca su contraseña aquí: [enlace sospechoso]"",spam,seguridad@emailfalso.com,True,False,False,True,Spam",,,,,,,,
"Re: ¡Gane un millón de dólares!,""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio, haga clic aquí: [enlace sospechoso]"",spam,ganador@loteria.net,True,True,True,True,Spam",,,,,,,,HAM
Solicitud de amistad,[nombre] te ha enviado una solicitud de amistad.,ham,notificaciones@redsocial.com,False,False,False,False,Ham
"Re: ¡Oferta Increíble! 50% de descuento,""Estimado cliente, aproveche esta oferta única por tiempo limitado. Haga clic aquí para más información: [enlace sospechoso]"",spam,ofertas@ofertasespeciales.com,True,False,True,False,Spam",,,,,,,,
"Re: ¡Gane un millón de dólares!,""¡Felicidades! Ha ganado un millón de dólares. Para reclamar su premio, haga clic aquí: [enlace sospechoso]"",spam,ganador@loteria.net,True,True,True,True,Spam",,,,,,,,
